weekdate,People tested,People positive,incomplete,Baseline
04/11/2020,1134,696,null,0
04/18/2020,3790,1661,null,0
04/25/2020,32865,10805,null,0
05/02/2020,91010,29438,null,0
05/09/2020,109061,37363,null,0
05/16/2020,144097,49491,null,0
05/23/2020,187718,61919,null,0
05/30/2020,135999,40537,null,0
06/06/2020,129811,36478,null,0
06/13/2020,137081,34764,null,0
06/20/2020,134343,31285,null,0
06/27/2020,128438,27585,null,0
07/04/2020,113085,22791,null,0
07/11/2020,117561,23182,null,0
07/18/2020,116819,23844,null,0
07/25/2020,99638,20702,null,0
08/01/2020,92201,19549,null,0
08/08/2020,84317,17324,null,0
08/15/2020,87610,17042,null,0
08/22/2020,83022,16775,null,0
08/29/2020,76711,15462,null,0
09/05/2020,77215,15655,null,0
09/12/2020,60838,12006,null,0
09/19/2020,69873,14150,null,0
09/26/2020,63862,12906,null,0
10/03/2020,61690,13449,null,0
10/10/2020,64081,12888,null,0
10/17/2020,59245,13104,null,0
10/24/2020,57984,12891,null,0
10/31/2020,52862,11396,null,0
11/07/2020,50854,10764,186000,0
11/14/2020,51964,11205,186000,0